"type","title","conference","city","country","month","date","date of talk","invited","pages of abstract","year","speaker","num_author",,,,
"0","南部括弧に基づく構造保存数値解法に関する一考察","日本応用数理学会2018年研究部会連合発表会","大阪","JP","March","15-16","15","0","0","2018","松尾 宇泰","3",杉渕 優也,松尾 宇泰,佐藤 峻,
"0","混合微分を含む発展方程式の再定式化について","日本数学会2018年度年会","東京","JP","March","18-21","21","0","159-162","2018","佐藤 峻","1",佐藤 峻,,,
"0","微分代数方程式における 2 次以下の保存量に対する離散保存則について","第47回数値解析シンポジウム","福井","JP","June","6-8","6","0","21-24","2018","佐藤 峻","1",佐藤 峻,,,
"0","Convergence analysis of a conservative finite difference scheme for the modified Hunter–Saxton equation","13th SIAM East Asian Section Conference 2018","Tokyo","Japan","June","22-25","24","0","0","2018","S. Sato","1",S. Sato,,,
"0","保存/散逸則をもつ微分代数方程式の勾配構造とそれに基づく離散勾配法","「最適モデリング」セミナー (JST CREST「大規模複雑システムの最適モデリング手法の構築」)","東京","JP","July","17","17","1","0","2018","佐藤 峻","1",佐藤 峻,,,
"0","微分代数方程式に対する離散勾配法の構築","日本応用数理学会2018年度年会","愛知","JP","September","3-5","5","0","363-364","2018","佐藤 峻","1",佐藤 峻,,,
"0","Linear gradient structures and discrete gradient methods for conservative/dissipative differential-algebraic equations","SciCADE 2019","Innsbruck","Austria","July","22-27","25","0","0","2019","S. Sato","1",S. Sato,,,
"0","保存則をもつ微分代数方程式に対する離散勾配法","RIMS共同研究 (公開型)「諸科学分野を結ぶ基礎学問としての数値解析学」","京都","JP","November","6-8","8","0","0","2019","佐藤 峻","1",佐藤 峻,,,
"0","2次の保存量をもつ常微分方程式に対する線形かつ高精度な構造保存数値解法","UTNAS","オンライン","JP","June","23","23","0","0","2020","佐藤 峻","1",佐藤 峻,,,
"0","Ostrovsky方程式の構造保存スキームの数学的解析","日本応用数理学会2021年研究部会連合発表会","オンライン","JP","March","4-5","5","0","0","2021","川合 秀人","3",川合 秀人,佐藤 峻,松尾 宇泰,
"0","Scalar Auxiliary Variable法と保存的exponential Runge-Kutta法の組合せによる高速かつ高精度なスキームの構成","日本応用数理学会2021年研究部会連合発表会","オンライン","JP","March","4-5","5","0","0","2021","佐藤 峻","1",佐藤 峻,,,
"0","混合微分を含む発展方程式に対する構造保存数値解法","高専間ネットワークによる微分方程式研究会","オンライン","JP","March","23-24","24","1","0","2021","佐藤 峻","1",佐藤 峻,,,
"0","最適化に適した安定な数値解法について","日本応用数理学会 2021年度 年会","オンライン","JP","September","7-9","7","0","0","2021","牛山 寛生","3",牛山 寛生,佐藤 峻,松尾 宇泰,
"0","最適化に現れる常微分方程式の本質的な収束レート","日本応用数理学会 2021年度 年会","オンライン","JP","September","7-9","7","0","0","2021","牛山 寛生","3",牛山 寛生,佐藤 峻,松尾 宇泰,
"0","連続最適化問題に対する微分方程式の数値解析によるアプローチ","京都大学応用数学セミナー","オンライン","JP","November","30","30","0","0","2021","佐藤 峻","1",佐藤 峻,,,
"0","Nesterovの加速勾配法の可変刻み線形多段法としての解釈とその応用について","日本応用数理学会 2022年度 年会","北海道","JP","September","8-10","8","0","0","2022","野沢 諒太","3",野沢 諒太,松尾 宇泰,佐藤 峻,
"0","勾配流に対する離散勾配を用いた最適化手法の統一的記述について","日本応用数理学会 2022年度 年会","北海道","JP","September","8-10","8","0","0","2022","牛山 寛生","3",牛山 寛生,佐藤 峻,松尾 宇泰,
"0","連続最適化に対する数値解析学的アプローチ","RIMS共同研究 (公開型)「数値解析が拓く次世代情報社会～エッジから富岳まで～」","京都","JP","October","12-14","12","1","0","2022","佐藤 峻","3",佐藤 峻,牛山 寛生,松尾 宇泰,
"1","High-order linearly implicit schemes conserving quadratic invariants","JSPS Seminar: Topics in computational methods for stochastic and deterministic differential equations","Gothenburg","Sweden","October","24-25","25","1","0","2022","S. Sato","1","Y. Miyatake, J. C. Butcher",,,
"0","最適化手法記述のための弱い離散勾配について","2022年度応用数学合同研究集会","滋賀","JP","Descember","15-17","15","0","0","2022","牛山 寛生","3",牛山 寛生,佐藤 峻,松尾 宇泰,
"1","High-order linearly implicit schemes conserving quadratic invariants","ANODE2023","Auckland","New Zealand","February","20-24","23","0","0","2023","S. Sato","1","Y. Miyatake, J. C. Butcher",,,
"0","最適化手法由来のヘッセ行列を伴う連続力学系モデルに対する数値解析学的アプローチ","日本応用数理学会2023年研究部会連合発表会","岡山","JP","March","8-10","9","0","0","2023","上島 智哉","4",上島 智哉,佐藤 峻,牛山 寛生,"松尾 宇泰, 田中 健一郎"
"0","最適化のための Runge--Kutta--Chebyshev 法における曲線探索法","第49回 数値解析シンポジウム","岩手","JP","July","12-14","12","0","0","2023","牛山 寛生","3",牛山 寛生,佐藤 峻,松尾 宇泰,
"0","KdV 型発展方程式に対するエネルギー保存解法の数学的解析手法について","第49回 数値解析シンポジウム","岩手","JP","July","12-14","13","0","0","2023","川合 秀人","3",川合 秀人,松尾 宇泰,佐藤 峻,
"0","アフィン座標変換に対して不変な射影を用いた常微分方程式の保存的数値解法","第49回 数値解析シンポジウム","岩手","JP","July","12-14","13","0","0","2023","石井 直樹","3",石井 直樹,佐藤 峻,松尾 宇泰,
"0","発展方程式に対する乱択化分解解法","第49回 数値解析シンポジウム","岩手","JP","July","12-14","13","0","0","2023","麻生 豊大","3",麻生 豊大,佐藤 峻,松尾 宇泰,
"0","連続最適化への応用に向けた常微分方程式の数値解析入門","連続最適化および関連分野に関する夏季学校 2023","東京","JP","August","9-11","9-10","1","0","2023","佐藤 峻","1",佐藤 峻,,,
"0","連続最適化手法とその連続極限における収束レートの対応について","RIMS共同研究（公開型）「新時代における高性能科学技術計算法の探究」","京都","JP","October","18-20","18","1","0","2023","佐藤 峻","4",佐藤 峻,牛山 寛生,野沢 諒太,松尾 宇泰
"0","A Unified Discretization Framework for Differential Equation Approach with Lyapunov Arguments for Convex Optimization (poster)","第26回情報論的学習理論ワークショップ","福岡","JP","October","29- November 1","30","0","0","2023","牛山 寛生","3",牛山 寛生,佐藤 峻,松尾 宇泰,
"0","連続最適化問題に対する常微分方程式によるアプローチ","セミナーシリーズ「物理学・応用数学の数値計算最前線」","オンライン","JP","January","17","17","1","0","2024","佐藤 峻","1",佐藤 峻,,,
"0","最適化手法の連続時間モデルに対する新しい収束率解析法","日本応用数理学会 第20回 研究部会連合発表会","新潟","JP","March","4-6","4","0","0","2024","牛山 寛生","3",牛山 寛生,佐藤 峻,松尾 宇泰,
"0","光錐座標上のsine-Gordon方程式の構造保存的2段スキームの数学的解析","日本応用数理学会 第20回 研究部会連合発表会","新潟","JP","March","4-6","4","0","0","2024","川合 秀人","2",川合 秀人,佐藤 峻,,
"0","部分和分作用素を用いた離散変分導関数法","日本応用数理学会 第20回 研究部会連合発表会","新潟","JP","March","4-6","4","0","0","2024","梅津 光汰","3",梅津 光汰,佐藤 峻,松尾 宇泰,
"0","Convergence rates of optimization methods in continuous and discrete time","International Conference on Scientific Computing and Machine Learning 2024","Kyoto","Japan","March","19-23","20","1","0","2024","S. Sato","1",S. Sato,,,
"0","構造保存数値解法と両立する重度の演算子分解","第50回 数値解析シンポジウム","岩手","JP","June","12-14","12","0","0","2024","石井 直樹","4",石井 直樹,麻生 豊大,佐藤 峻,松尾 宇泰
"0","可変刻み幅の線形多段階法の絶対安定性について","第50回 数値解析シンポジウム","岩手","JP","June","12-14","12","0","0","2024","佐藤 峻","1",佐藤 峻,,,
"0","Linearly implicit conservative exponential integrators for scalar auxiliary variable approach","Workshop on Numerical Methods and Analysis for PDEs","Shenzhen","China","June","26-27","26","1","0","2024","S. Sato","1",S. Sato,,,
"0","最適化手法の連続時間モデルに関する本質的な収束率の精緻化","日本応用数理学会 2024 年度年会","京都","JP","September","14-16","14","0","0","2024","牛山 寛生","3",牛山 寛生,佐藤 峻,松尾 宇泰,
"0","偏微分方程式に対するダイヤモンドスキームに関する諸検討","日本応用数理学会 2024 年度年会","京都","JP","September","14-16","14","0","0","2024","佐藤 海斗","3",佐藤 海斗,佐藤 峻,松尾 宇泰,
"0","偏微分方程式の重度演算子分解解法について","日本応用数理学会 2024 年度年会","京都","JP","September","14-16","14","0","0","2024","石井 直樹","4",石井 直樹,麻生 豊大,佐藤 峻,松尾 宇泰
